participant_id,round1_no_ai_confidence,round1_no_ai_success_rate,round2_with_ai_confidence,round2_with_ai_success_rate,submission_time_round1,submission_time_round2,performance_improvement
300,4,100%,5,50%,2025-11-14T11:17:25Z,2025-11-14T11:22:25Z,0%
301,4,100%,5,100%,2025-11-14T11:30:10Z,2025-11-14T11:36:10Z,0%
302,1,0%,4,100%,2025-11-14T11:38:26Z,2025-11-14T11:39:26Z,100%
303,2,0%,5,100%,2025-11-14T11:13:19Z,2025-11-14T11:17:19Z,100%
304,1,0%,5,100%,2025-11-14T11:32:41Z,2025-11-14T11:36:41Z,100%
305,1,0%,5,100%,2025-11-14T11:19:19Z,2025-11-14T11:21:19Z,100%
306,1,0%,5,100%,2025-11-14T11:01:02Z,2025-11-14T11:02:02Z,100%
307,1,0%,3,50%,2025-11-14T11:30:33Z,2025-11-14T11:37:33Z,50%
308,3,50%,5,100%,2025-11-14T11:00:01Z,2025-11-14T11:08:01Z,50%
309,1,0%,5,100%,2025-11-14T11:27:33Z,2025-11-14T11:28:33Z,100%
310,1,0%,5,100%,2025-11-14T11:25:32Z,2025-11-14T11:30:32Z,100%
311,2,50%,5,100%,2025-11-14T11:33:45Z,2025-11-14T11:40:45Z,50%
312,3,50%,5,100%,2025-11-14T11:23:26Z,2025-11-14T11:31:26Z,50%
313,1,0%,3,50%,2025-11-14T11:32:29Z,2025-11-14T11:34:29Z,50%
